page_title,email_addresses,phone_numbers,facebook,instagram,linkedin,twitter,github
Detroit Business and Corporate Attorneys | Michigan Lawyers,[],"['248-579-4631', '2485794631', '888-757-1681', '1602184350', '8887571681', '154001634728']","['http://www.facebook.com/2008/', 'https://www.facebook.com/profile.php']",[],[],[],[]
Boston Immigration Lawyer | Massachusetts Visa Attorney | Maiona Ward Immigration Law,[],"['(617) 695-2220', '1579026487', '110321710424', '617-695-2220', '596710121968', '(617) 695-6377', '1579026488']",['https://www.facebook.com/MaionaWardImmigrationLaw'],[],[],"['https://www.facebook.com/MaionaWardImmigrationLaw"" target=""_blank"" title=""Facebook""> <img src=""https://lawyers.justia.com/s/facebook-64.png"" alt=""Facebook Icon""/></a> <a href=""https://twitter.com/mmaiona"" target=""_blank"" title=""Twitter""> <img src=""https://lawyers.justia.com/s/twitter-64.png"" alt=""Twitter Icon""/></a> <a href=""https://www.linkedin.com/pub/matthew-maiona/9/231/155"" target=""_blank"" title=""LinkedIn""> <img src=""https://lawyers.justia.com/s/linkedin-64.png"" alt=""LinkedIn Icon""/></a> <a href=""https://lawyers.justia.com/firm/maiona-ward-78491"" target=""_blank"" title=""Justia""> <img src=""https://lawyers.justia.com/s/justia-64.png"" alt=""Justia Icon""/></a> </div> <div class=""widget amp-include"" id=""login""> <div class=""description""><a href=""https://global.inszoom.com/login_frame.aspx?enc=OuilFBEzAjY91AkGQvzhPPrs8MN2RaiSRbeB4lxbwT4="" target=""_blank"" class=""boxbtn bt-login"">Client Login</a></div> </div> <div class=""widget amp-include"" id=""brochures""> <div class=""description""><a href=""files/mw-immigrationmanagementpractice1.pdf"" target=""_blank"" class=""boxbtn bt-practice"">Immigration Management Practice Brochure</a> <a href=""brochures.html"" class=""boxbtn bt-firm"">Firm Brochures</a> </div> </div> <div class=""widget"" id=""twitter-side""> <div class=""description""><center><a class=""twitter-timeline"" width=""100%"" href=""https://twitter.com/MMaiona"" data-widget-id=""596710121968955392"">Tweets by @MMaiona</a></center> <style>#twitter-side iframe {width:100% !important}</style></div> </div> </div> <!-- End SideBar left --> </div> <div class=""stpr""></div> </div> <!-- Footer --> <div id=""footer""> <div class=""fcontainer""> <div class=""fwrap""> <div class=""ffrags""> </div> <div id=""address""> <div itemscope itemtype=""http://schema.org/LegalService"" class=""slocation contactus""> <div itemprop=""logo"" itemscope itemtype=""http://schema.org/ImageObject""> <link href=""/images/justia-maionapc-com.png""/> </div> <link itemprop=""image"" href=""/images/justia-maionapc-com.png""/> <link itemprop=""url"" href=""https://www.maionapc.com/""/> <meta itemprop=""name"" content=""Maiona Ward Immigration Law""/> <div itemprop=""address"" itemscope itemtype=""http://schema.org/PostalAddress""> <div itemprop=""streetAddress"">31 Milk St #401</div> <span itemprop=""addressLocality"">Boston</span>, <span itemprop=""addressRegion"">MA</span> <span itemprop=""postalCode"">02109</span> <span itemprop=""addressCountry""></span> </div> <span class=""contacts""> <span>Phone: <span itemprop=""telephone"">(617) 695-2220</span> </span> <span>Fax: <span itemprop=""faxNumber"">(617) 695-6377</span> </span> </span> </div> </div> <div class=""footerlocalities"">We serve the following localities: Bristol County including Fall River and New Bedford; Essex County including Haverhill, Lawrence, Lynn, and North Andover; Middlesex County including Burlington, Cambridge, Everett, Framingham, Lexington, Lowell, Marlborough, Maynard, Natick, Newton, Somerville, and Waltham; Norfolk County including Brookline, Dedham, Needham, Norwood, and Westwood; Plymouth County including Brockton and Plymouth; Suffolk County including Boston and Brighton; and Worcester County including Leominster, Westborough, and Worcester.</div> <script>!function(d,s,id){var js,fjs=d.getElementsByTagName(s)[0],p=/^http:/.test(d.location)?\'http\':\'https\';if(!d.getElementById(id)){js=d.createElement(s);js.id=id;js.src=p+""://platform.twitter.com/widgets']",[]
"Top Business Lawyers serving San Francisco, California on UpCounsel","['//www.upcounsel.com/assets/law_reports/Shareable-image-SF@2x-99884bd8d8374b8cdde62f96d16ff98dd55d32ed5dc397f3cdf9379f50d7432a.jpg', '/assets/magnifying_people@2x-2c99f98c9e417ca5db46f65f6543c0d02032fa1ab8110c9a3137b59b0f7c9f5c.png', 'datateam@upcounsel.com']","['158402415357', '996350364963', '1484279410', '158567368524', '159658719463', '141470587256', '949275362318', '142603069840', '1443036328', '994186046511', '1430844040', '980769230769', '145790544890', '148891175488', '992172791191', '9326363575', '9924472147', '1013333353']",['http://www.facebook.com/upcounsel'],[],[],['http://twitter.com/upcounsel'],[]
"Detroit Business Lawyer • Detroit Business Attorney, Detroit Business Litigation Attorney, Detroit MI Business Lawyer","['cdawe@primerus.com', 'melissa@demolaw.com', 'mike@demolaw.com', 'charlie@demolaw.com', 'mark@demolaw.com', 'derek@demolaw.com']","['800.968.2211', '616.454.9939', '017574356186', '771-149157334', '248.723.5500', '772-149157361', '464-151258906', '770-149158174', '594-157166551', '248.723.5588', '109401799104', '616-454-9939', '800-968-2211']","['https://www.facebook.com/DemoLaw', 'https://www.facebook.com/pages/']",[],[],"['https://twitter.com/DemoLaw', 'https://twitter.com/Primerus1992']",[]
"Business Lawyer Boston MA: BROSS LAW, LLC  Massachusetts Small Business Attorney",[],"['105226298209', '710353.146108', '293.145385456', '617-785-5625', '781-383-9084', '140996043189', '141088477046', '141088487046', '141096305158', '141088259988', '140969676359', '140743482289', '140742184542', '140742060221', '144530486858', '636490972994']",['https://www.facebook.com/massachusettsbusinesslaw/'],[],[],['https://twitter.com/Bross_Law'],[]
Boston Criminal Defense Lawyer | Jack Diamond Law Offices,[],"['142106079148', '000.000.0000', '000-000-0000', '0000000000', '(000) 000-0000', '200505191247', '200831100556', '(617) 925-6772', '617.925.6772', '200820172839']","['https://www.facebook.com/Jack-Diamond-Law-Offices-1421060791485623/', 'https://www.facebook.com/pages/']",[],[],[],[]
"Best Immigration Attorney Boston, MA | Green Card Lawyer Boston, MA | Work Visa Lawyer in Boston, MA",[],"['1603652278', '800000000000', '000044408920', '985006261616', '945266723632', '1068866593', '617.536.0584', '6175360584', '605418192681', '102953897882', '948.629730931', '076764000000', '350417000000', '143107050682', '617-536-0584', '617-217-0757']",['https://www.facebook.com/immigrationlawyerboston'],[],[],['https://twitter.com/ImmSolutionsllc'],[]
Seattle DUI Lawyer Aaron Wolff | Washington DUI Defense Lawyer,[],"['206-504-2500', '110288062996', '1557261723', '1557261724', '198127266545', '434951953199', '1556123544', '1603656753', '1487876022', '(206) 504-2500', '102078492400', '85861422103']","['https://www.facebook.com/plugins/', 'https://www.facebook.com/app_scoped_user_id/']",[],[],['https://twitter.com/wolffdefense'],[]
20 Best Seattle DUI Lawyers | Expertise,[],"['9144418538', '0344418538', '6180339887', '2720196495', '7861513778', '6970425179', '5479809358', '4858682718', '2095856376', '6011060351', '0297986276', '1702257131', '4207742246', '3224332772', '4408110924', '5446979413', '6553263994', '3830382804', '8014747135', '4042708558', '0036867837', '6085173708', '4808848281', '8425625135', '8085417115', '4680902853', '0468090285', '0936180571', '3744722282', '2808541712', '7021354279', '0400737357', '5610322994', '3606636211', '2192834816', '8415484491', '4007373567', '6812535065', '3205898854', '7213272421', '2805161497', '2422858059', '1096417408', '2022120702', '2612006091', '8804987145', '7489444564', '9361805705', '6411797708', '0221207021', '0184339184', '0147471347', '6066362106', '4426544843', '9235393123', '8816221848', '4346327151', '2340451426', '4827282199', '9617696562', '5617083423', '7957534849', '9021597686', '849734058416', '+12068666739', '(206) 866-6739', '+12062240909', '(206) 224-0909', '+12064596392', '(206) 459-6392', '140315959323', '+12068022703', '(206) 802-2703', '165509966944', '+14254249401', '(425) 424-9401', '+12066233343', '(206) 623-3343', '+12066218777', '(206) 621-8777', '+14257786900', '(425) 778-6900', '+12064672607', '(206) 467-2607', '+12063578454', '(206) 357-8454', '127635577263', '+12062071067', '(206) 207-1067', '+14258833366', '(425) 883-3366', '+12062039229', '(206) 203-9229', '+14257787339', '(425) 778-7339', '+13608764455', '(360) 876-4455', '+12064410900', '(206) 441-0900', '+12533271063', '(253) 327-1063', '+12066133111', '(206) 613-3111', '+12064274901', '(206) 427-4901', '+12065042500', '(206) 504-2500', '(877)-769-7769', '2044841129', '206-866-6739', '206-224-0909', '206-459-6392', '206-802-2703', '425-424-9401', '206-623-3343', '206-621-8777', '425-778-6900', '206-467-2607', '206-357-8454', '206-207-1067', '425-883-3366', '206-203-9229', '425-778-7339', '360-876-4455', '206-441-0900', '253-327-1063', '206-613-3111', '206-427-4901', '206-504-2500']","['https://www.facebook.com/pages/', 'https://www.facebook.com/165509966944279', 'https://www.facebook.com/DuiHeroes/', 'https://www.facebook.com/lynnwoodduicriminallawyer', 'https://www.facebook.com/ExpertiseLocal/']",['https://www.instagram.com/duiheroes'],[],"['https://twitter.com/dui_heroes', 'https://twitter.com/leyba_defense', 'https://twitter.com/ExpertiseLocal']",[]
"New York Criminal Defense Lawyers - Local Attorneys & Law Firms in New York, NY | FindLaw",[],"['1598138183', '1598138520', '160365756853', '+16469785116', '646-978-5116', '+12122351510', '212-235-1510', '+17189620411', '718-962-0411', '3010752021', '8418358474', '+16469608200', '646-960-8200', '1598138428', '(646) 386-3600', '(646) 386-3601', '1598109331', '1598384000', '155348564494']","['https://www.facebook.com/FindLawConsumers', 'https://www.facebook.com/tr']",[],[],['https://twitter.com/findlawconsumer'],[]
"Best NYC Criminal Lawyers | Risk Free Consultation 24/7 | Top Rated Attorney Servicing: NYC, Brooklyn, Queens, Staten Island, and Bronx :",[],"['(718) 878-3781', '1489745555', '118178306949', '(718) 690-3834']",['https://www.facebook.com/Tsiglerlaw/'],['https://www.instagram.com/tsiglerlaw'],[],['https://twitter.com/TsiglerLaw'],[]
"New York Criminal Defense Lawyer | Manhattan, New York Federal Defense Attorney | The Law Offices of Jeffrey Lichtman",[],"['155963129226', '2125811001', '(212) 581-1001', '155913570146']",[],[],[],['https://twitter.com/NYCDefenseLaw'],[]
Immigration Law,[],"['635803038500', '2019062601', '2019062401', '2062677010', '206-267-7010', '(206) 267-7010', '490639004326', '(206) 267-7100']","['https://www.facebook.com/pages/', 'https://www.facebook.com/KingCountyBar/']",[],[],"['https://twitter.com/KCBA_LRS', 'https://twitter.com/kingcountybar']",[]
"Civil Rights | Carney Badley Spellman, P.S.","['lobsenz@carneylaw.com', 'info@carneylaw.com']","['1595553783', '1586935985', '1603493914', '1603493908', '147656856952', '147597062772', '147646314011', '147579234680', '147658393893', '122.3325057', '206.622.8020', '857142857143', '148830466094', '428571428571', '148614799182', '(206) 622-8020', '122.9014177', '(360) 357-6500', '(206) 467-8215', '214285714286', '1602497817']",['https://www.facebook.com/CarneyBadleySpellman'],[],[],[],[]
